Submission,Exclusion
AF-21-05870-20,impureCulture
AF-21-05898-24,identifiedOutlier
AF-21-05910-22,identifiedOutlier
AF-21-05960-22,identifiedOutlier
AF-21-05976-24,identifiedOutlier
AF-21-06010-17,identifiedOutlier
AF-21-06146-20,identifiedOutlier
AF-21-06178-22,identifiedOutlier
AF-21-06285-17,identifiedOutlier
AF-21-06409-23,identifiedOutlier
AF-21-06456-17,identifiedOutlier
AF-21-06502-17,identifiedOutlier
AF-21-06503-20,identifiedOutlier
AF-21-06518-21,identifiedOutlier
AF-21-06559-21,identifiedOutlier
AF-21-06575-20,identifiedOutlier
AF-21-06589-21,identifiedOutlier
AF-21-06614-17,identifiedOutlier
AF-21-06637-17,identifiedOutlier
AF-21-06656-20,identifiedOutlier
AF-21-06662-20,identifiedOutlier
AF-21-06679-20,identifiedOutlier
AF-21-06885-21,identifiedOutlier
AF-21-06900-19,identifiedOutlier
AF-21-06983-21,identifiedOutlier
AF-21-07050-21,identifiedOutlier
AF-21-07098-22,identifiedOutlier
AF-21-07157-23,identifiedOutlier
AF-21-07197-22,identifiedOutlier
AF-21-07258-18,identifiedOutlier
AF-21-07302-22,identifiedOutlier
AF-21-07546-23,identifiedOutlier
AF-21-07610-22,identifiedOutlier
AF-21-07621-18,identifiedOutlier
AF-21-07651-23,identifiedOutlier
AF-21-07653-22,identifiedOutlier
AF-21-07692-17,identifiedOutlier
AF-21-07751-17,identifiedOutlier
AF-21-07763-17,identifiedOutlier
AF-21-07837-19,identifiedOutlier
AF-21-07908-18,identifiedOutlier
AF-21-07935-19,identifiedOutlier
AF-21-08261-09,identifiedOutlier
AF-21-08404-22,identifiedOutlier
AF-21-08407-22,identifiedOutlier
AF-21-08648-18,identifiedOutlier
AF-21-50780-16,identifiedOutlier
AF-61-00018-18,identifiedOutlier
AF-61-00164-21,impureCulture
AF-61-00169-21,impureCulture
AF-61-00178-14,identifiedOutlier
AF-61-00203-21,notMbovis
AF-61-00226-21,impureCulture
AF-61-00229-21,impureCulture
AF-61-00231-21,notMbovis
AF-61-00233-21,notMbovis
AF-61-00234-21,notMbovis
AF-61-00248-18,identifiedOutlier
AF-61-00250-21,notMbovis
AF-61-00255-18,identifiedOutlier
AF-61-00266-17,identifiedOutlier
AF-61-00266-17,identifiedOutlier
AF-61-00371-22,identifiedOutlier
AF-61-00379-18,identifiedOutlier
AF-61-00392-17,identifiedOutlier
AF-61-00475-22,identifiedOutlier
AF-61-00526-18,identifiedOutlier
AF-61-00540-20,identifiedOutlier
AF-61-00614-24,identifiedOutlier
AF-61-00692-20,identifiedOutlier
AF-61-00738-21,identifiedOutlier
AF-61-00911-16,identifiedOutlier
AF-61-00932-19,identifiedOutlier
AF-61-01034-19,identifiedOutlier
AF-61-01073-17,identifiedOutlier
AF-61-01112-24,identifiedOutlier
AF-61-01152-24,identifiedOutlier
AF-61-01160-17,identifiedOutlier
AF-61-01241-17,identifiedOutlier
AF-61-01282-24,identifiedOutlier
AF-61-01448-21,identifiedOutlier
AF-61-01551-18,identifiedOutlier
AF-61-01551-21,identifiedOutlier
AF-61-01762-21,identifiedOutlier
AF-61-01878-20,impureCulture
AF-61-01879-20,impureCulture
AF-61-01880-20,notMbovis
AF-61-01933-18,identifiedOutlier
AF-61-01982-22,identifiedOutlier
AF-61-02056-23,identifiedOutlier
AF-61-02089-22,identifiedOutlier
AF-61-02135-22,identifiedOutlier
AF-61-02370-22,identifiedOutlier
AF-61-02407-19,identifiedOutlier
AF-61-02548-20,identifiedOutlier
AF-61-02812-22,identifiedOutlier
AF-61-02814-23,identifiedOutlier
AF-61-02829-22,identifiedOutlier
AF-61-03042-22,identifiedOutlier
AF-61-03046-20,notMbovis
AF-61-03064-22,identifiedOutlier
AF-61-03106-19,identifiedOutlier
AF-61-03109-22,identifiedOutlier
AF-61-03119-20,notMbovis
AF-61-03153-20,impureCulture
AF-61-03156-20,notMbovis
AF-61-03196-19,identifiedOutlier
AF-61-03197-20,notMbovis
AF-61-03203-20,notMbovis
AF-61-03235-20,notMbovis
AF-61-03250-20,notMbovis
AF-61-03251-20,notMbovis
AF-61-03361-20,identifiedOutlier
AF-61-03368-20,identifiedOutlier
AF-61-03407-20,identifiedOutlier
AF-61-03494-21,identifiedOutlier
AF-61-03514-20,lowQualityData
AF-61-03646-20,identifiedOutlier
AF-61-03679-23,identifiedOutlier
AF-61-03878-18,identifiedOutlier
AF-61-03878-19,identifiedOutlier
AF-61-03999-21,identifiedOutlier
AF-61-04154-18,identifiedOutlier
AF-61-04247-17,identifiedOutlier
AF-61-04298-17,identifiedOutlier
AF-61-04463-20,identifiedOutlier
AF-61-04488-19,identifiedOutlier
AF-61-04745-20,identifiedOutlier
AN5,identifiedOutlier
B1,identifiedOutlier
B2,identifiedOutlier
BTB-1192,identifiedOutlier
C17-,identifiedOutlier
H10,identifiedOutlier
H13,identifiedOutlier
H14,identifiedOutlier
H20,identifiedOutlier
JT,identifiedOutlier
K4638,identifiedOutlier
K553,identifiedOutlier
L77,identifiedOutlier
LM,notMbovis
LT,notMbovis
MC,identifiedOutlier
PC,notMbovis
RJH-L,notMbovis
RJH-S,notMbovis
SB,identifiedOutlier
SC,identifiedOutlier
SE,impureCulture
SE3317,identifiedOutlier
T5,identifiedOutlier
T7,identifiedOutlier
T8,identifiedOutlier
TB1,identifiedOutlier
TIKA,identifiedOutlier
VB,identifiedOutlier
VC,identifiedOutlier
VF,notMbovis
X53,identifiedOutlier
X63,identifiedOutlier
ZW,impureCulture
,notMbovis
