Host	BOVINE	#007CBA
Host	BADGER	#D9262E
Host	DEER	#77BC1F
Host	PIG	#F065A3
Host	ALPACA	#6D3075
Host	LLAMA	#FFCC00
Host	SHEEP	#E3E1CA
Host	CAT	#BF772A
Host	DOG	#FABD34
Host	GOAT	#CC79A7
Host	WILD_BOAR	#44B4E9
Host	ANTELOPE	#009E73
Host	BUFFALO	#F0E442
Host	FERRET	#0072B2
Host	LION	#55DAB8
Host	TAPIR	#F1CBFF
Host	OTHER_CARNIVORE	#FFA96A
Host	OTHER_MAMMAL	#008080
Host	EXOTIC_OTHHER	#D6BF91
RiskArea	LRA	#00C853
RiskArea	HRA	#C62828
RiskArea	Edge	#FFA500
RiskArea	Low TB	#00C853
RiskArea	High TB East	#C62828
RiskArea	High TB West	#C62828
RiskArea	Intermediate TB Mid	#FFA500
RiskArea	Intermediate TB North	#FFA500
RiskArea	Scotland	#CFD8DC
